Firm #,E/A,ROA,D/A,OPM,ATR,Size,QR,CR,Default=1,,
2499,0.76,0.41,0.24,0.19,2.18,972.07,2.46,2.94,0,,
2500,0.56,0.91,0.44,0.40,2.27,1010.65,1.83,2.79,0,,
2501,0.69,0.51,0.31,0.23,2.23,948.71,2.10,2.29,0,,
2502,0.60,0.49,0.40,0.22,2.19,895.06,1.57,1.68,0,,
2503,0.49,0.97,0.51,0.53,1.82,962.50,1.60,1.19,0,,
2504,0.57,0.68,0.43,0.33,2.04,992.39,2.21,3.02,0,,
2505,0.57,0.96,0.43,0.43,2.21,1079.75,1.97,2.93,0,,
2506,0.62,0.76,0.38,0.39,1.94,1073.38,1.50,3.03,0,,
2507,0.61,0.71,0.39,0.32,2.23,1020.35,2.10,2.22,0,,
2508,0.61,0.78,0.39,0.43,1.82,896.88,2.43,2.57,0,,
2509,0.88,0.29,0.12,0.23,1.25,878.75,2.13,1.97,0,,
2510,0.56,0.68,0.44,0.36,1.88,964.23,1.58,1.84,0,,
2511,0.50,0.39,0.50,0.17,2.30,890.98,2.25,2.18,0,,
2512,0.73,0.29,0.27,0.15,1.88,998.29,2.31,2.67,0,,
2513,0.75,0.61,0.25,0.34,1.78,1001.10,2.60,2.22,0,,
2514,0.54,0.47,0.46,0.28,1.69,977.52,1.96,2.37,0,,
2515,0.75,0.40,0.25,0.23,1.76,921.94,2.31,2.57,0,,
2516,0.77,0.49,0.23,0.30,1.62,1062.12,2.85,2.74,0,,
2517,0.52,0.14,0.48,0.06,2.32,897.40,2.35,3.16,0,,
2518,0.67,0.53,0.33,0.25,2.12,926.80,2.62,1.94,0,,
2519,0.48,0.52,0.52,0.22,2.37,896.39,1.41,2.61,0,,
2520,0.73,0.68,0.27,0.32,2.12,1080.50,1.99,3.01,0,,
2521,0.66,0.64,0.34,0.29,2.22,1046.79,2.54,2.49,0,,
2522,0.58,0.32,0.42,0.15,2.09,985.66,1.78,2.10,0,,
2523,0.55,0.74,0.45,0.30,2.46,976.95,1.75,1.81,0,,
2524,0.55,0.60,0.45,0.29,2.09,983.20,2.09,1.93,0,,
2525,0.58,0.60,0.42,0.36,1.69,1015.58,1.75,1.41,0,,
2526,0.62,0.42,0.38,0.23,1.81,989.68,1.97,2.31,0,,
2527,0.66,0.29,0.34,0.16,1.87,876.56,2.09,2.50,0,,
2528,0.55,0.52,0.45,0.30,1.71,827.05,1.24,2.11,0,,
2529,0.64,0.77,0.36,0.34,2.25,957.46,1.90,2.34,0,,
2530,0.56,0.66,0.44,0.34,1.92,1040.43,2.34,2.34,0,,
2531,0.49,0.88,0.51,0.39,2.27,1076.59,2.03,2.37,0,,
2532,0.82,0.30,0.18,0.16,1.81,992.72,3.38,3.27,0,,
2533,0.42,0.66,0.58,0.25,2.62,935.74,2.09,2.30,0,,
2534,0.66,0.47,0.34,0.22,2.13,843.87,2.40,2.39,0,,
2535,0.47,0.69,0.53,0.39,1.77,1071.09,1.93,2.32,0,,
2536,0.44,0.82,0.56,0.36,2.29,985.36,1.39,2.47,0,,
2537,0.75,0.61,0.25,0.31,2.01,1058.69,1.73,1.39,0,,
2538,0.58,0.60,0.42,0.40,1.48,1050.94,2.17,1.44,0,,
2539,0.25,0.79,0.75,0.44,1.81,1107.01,1.21,1.85,1,,
2540,0.62,0.57,0.38,0.28,2.04,882.72,2.22,2.81,0,,
2541,0.55,0.60,0.45,0.33,1.83,1016.11,2.02,2.02,0,,
2542,0.57,0.85,0.43,0.52,1.61,1129.49,1.69,2.50,0,,
2543,0.47,0.99,0.53,0.47,2.12,1146.70,2.13,1.87,1,,
2544,0.49,0.62,0.51,0.28,2.22,1006.54,1.24,1.44,0,,
2545,0.69,0.24,0.31,0.10,2.43,914.27,2.27,2.87,0,,
2546,0.64,0.53,0.36,0.25,2.09,1080.54,2.10,3.12,0,,
2547,0.57,0.77,0.43,0.32,2.39,1139.45,2.29,2.56,0,,
2548,0.61,0.22,0.39,0.10,2.15,968.42,2.05,2.48,0,,
2549,0.35,0.99,0.65,0.48,2.07,1038.77,1.04,1.87,0,,
2550,0.56,0.83,0.44,0.45,1.84,849.80,1.88,2.23,0,,
2551,0.56,0.64,0.44,0.31,2.07,947.73,2.22,2.52,0,,
2552,0.68,0.42,0.32,0.24,1.70,848.42,1.83,1.83,0,,
2553,0.73,0.69,0.27,0.35,1.99,953.22,2.32,3.91,0,,
2554,0.52,0.70,0.48,0.39,1.80,988.13,1.13,2.12,0,,
2555,0.62,0.49,0.38,0.28,1.73,1011.44,1.68,2.19,0,,
2556,0.54,0.72,0.46,0.26,2.79,1020.58,2.10,2.43,0,,
2557,0.68,0.50,0.32,0.31,1.63,1083.47,2.36,2.93,0,,
2558,0.51,0.62,0.49,0.50,1.23,1025.85,1.61,1.88,0,,
2559,0.78,0.24,0.22,0.12,1.97,876.87,2.21,2.69,0,,
2560,0.44,0.84,0.56,0.50,1.68,933.06,1.99,2.61,0,,
2561,0.52,0.38,0.48,0.14,2.76,951.50,2.29,2.55,0,,
2562,0.59,0.49,0.41,0.22,2.24,788.21,1.02,1.89,0,,
2563,0.72,0.64,0.28,0.33,1.92,945.75,1.97,2.34,0,,
2564,0.64,0.69,0.36,0.40,1.73,1065.90,1.28,1.96,0,,
2565,0.57,0.47,0.43,0.22,2.11,1093.01,2.65,1.91,0,,
2566,0.48,0.50,0.52,0.31,1.64,861.56,2.06,2.20,0,,
2567,0.70,0.37,0.30,0.20,1.85,744.57,2.25,2.80,0,,
2568,0.47,0.45,0.53,0.17,2.58,1061.98,2.25,2.82,0,,
2569,0.32,0.82,0.68,0.47,1.75,1127.45,2.11,2.79,0,,
2570,0.65,0.44,0.35,0.24,1.82,863.92,1.51,1.61,0,,
2571,0.55,0.68,0.45,0.31,2.17,1083.37,2.27,2.04,0,,
2572,0.67,0.88,0.33,0.49,1.78,1040.80,2.00,2.93,0,,
2573,0.77,0.61,0.23,0.30,2.04,995.90,2.01,3.70,0,,
2574,0.45,0.77,0.55,0.33,2.36,1048.70,2.22,2.54,0,,
2575,0.53,0.72,0.47,0.38,1.88,972.63,2.29,2.32,0,,
2576,0.65,0.80,0.35,0.31,2.56,1128.95,2.76,3.61,0,,
2577,0.59,0.39,0.41,0.18,2.12,1051.27,1.39,2.85,1,,
2578,0.62,0.78,0.38,0.37,2.13,1155.28,2.57,2.65,0,,
2579,0.75,0.50,0.25,0.27,1.85,901.45,2.69,2.29,0,,
2580,0.89,0.44,0.11,0.23,1.86,848.14,1.57,2.96,0,,
2581,0.60,0.57,0.40,0.37,1.52,1012.26,2.33,2.03,0,,
2582,0.65,0.63,0.35,0.31,2.04,949.33,2.15,1.92,0,,
2583,0.66,0.46,0.34,0.23,1.95,983.72,1.81,2.65,0,,
2584,0.68,0.28,0.32,0.16,1.70,827.67,1.69,2.48,0,,
2585,0.78,0.61,0.22,0.33,1.86,939.38,1.45,2.94,0,,
2586,0.65,0.46,0.35,0.37,1.25,828.17,2.50,2.49,0,,
2587,0.58,0.67,0.42,0.32,2.09,866.53,1.31,2.19,0,,
2588,0.71,0.63,0.29,0.29,2.18,1001.62,2.29,3.05,0,,
2589,0.55,0.57,0.45,0.30,1.88,973.71,1.61,1.85,0,,
2590,0.63,0.60,0.37,0.28,2.11,931.81,2.35,3.67,0,,
2591,0.61,0.58,0.39,0.28,2.10,989.17,2.11,2.77,0,,
2592,0.74,0.63,0.26,0.41,1.54,942.41,1.45,2.22,0,,
2593,0.68,0.73,0.32,0.40,1.82,1115.18,2.19,2.48,0,,
2594,0.56,0.48,0.44,0.27,1.76,938.97,1.87,2.50,0,,
2595,0.68,0.72,0.32,0.36,2.03,1111.60,2.09,2.44,0,,
2596,0.58,0.58,0.42,0.25,2.34,951.71,2.05,2.52,0,,
2597,0.40,0.60,0.60,0.27,2.23,983.73,1.40,1.93,0,,
2598,0.52,0.59,0.48,0.30,1.94,861.70,1.18,2.04,0,,
2599,0.50,0.88,0.50,0.34,2.58,1134.00,2.18,3.20,0,,
2600,0.36,0.52,0.64,0.29,1.79,1059.94,1.48,1.95,0,,
2601,0.48,0.48,0.52,0.18,2.64,1168.37,1.98,3.07,0,,
2602,0.56,0.84,0.44,0.39,2.17,1254.43,2.50,2.36,0,,
2603,0.40,0.74,0.60,0.30,2.50,1203.27,2.24,3.26,0,,
2604,0.69,0.65,0.31,0.28,2.27,1026.66,2.46,3.01,0,,
2605,0.67,0.42,0.33,0.34,1.22,1008.58,1.99,2.75,0,,
2606,0.40,0.79,0.60,0.35,2.27,1104.44,1.99,2.22,0,,
2607,0.55,0.64,0.45,0.31,2.04,1009.11,2.26,2.87,0,,
2608,0.60,0.66,0.40,0.33,1.96,963.60,1.93,2.44,0,,
2609,0.55,0.64,0.45,0.36,1.78,1075.84,1.75,2.94,0,,
2610,0.63,0.39,0.37,0.24,1.62,953.68,1.88,2.49,0,,
2611,0.63,0.55,0.37,0.33,1.68,885.17,1.49,2.49,0,,
2612,0.64,0.70,0.36,0.35,1.99,1059.89,2.47,3.28,0,,
2613,0.66,0.62,0.34,0.32,1.93,1069.97,2.05,2.60,0,,
2614,0.69,0.30,0.31,0.13,2.27,927.99,2.00,2.95,0,,
2615,0.61,0.85,0.39,0.41,2.06,1066.09,2.19,2.36,0,,
2616,0.66,0.33,0.34,0.19,1.79,948.66,2.34,2.52,0,,
2617,0.46,0.97,0.54,0.52,1.87,1058.67,0.97,0.85,0,,
2618,0.58,0.54,0.42,0.24,2.23,940.43,1.81,2.09,0,,
2619,0.50,0.56,0.50,0.30,1.89,1129.36,2.26,2.49,0,,
2620,0.61,0.91,0.39,0.40,2.24,1151.08,2.13,2.34,0,,
2621,0.61,0.40,0.39,0.17,2.39,1074.37,2.85,2.62,0,,
2622,0.47,0.72,0.53,0.37,1.94,1002.34,1.53,1.74,0,,
2623,0.45,0.82,0.55,0.40,2.04,1170.98,2.27,2.61,0,,
2624,0.60,0.74,0.40,0.35,2.10,1112.71,1.84,2.78,0,,
2625,0.43,0.54,0.57,0.26,2.04,1097.96,1.77,2.48,0,,
2626,0.55,0.53,0.45,0.35,1.48,964.20,1.85,2.02,0,,
2627,0.56,0.48,0.44,0.21,2.26,1003.64,2.15,2.15,0,,
2628,0.38,0.80,0.62,0.37,2.15,1270.98,2.25,2.51,0,,
2629,0.45,0.52,0.55,0.28,1.86,1051.49,2.34,1.46,0,,
2630,0.51,0.81,0.49,0.34,2.40,954.38,1.57,2.17,0,,
2631,0.56,0.52,0.44,0.23,2.27,989.47,1.88,2.73,0,,
2632,0.65,0.63,0.35,0.33,1.90,830.89,1.85,1.60,0,,
2633,0.61,0.55,0.39,0.25,2.20,1054.06,1.92,2.65,1,,
2634,0.42,0.57,0.58,0.25,2.27,980.43,2.68,3.08,0,,
2635,0.80,0.08,0.20,0.04,1.96,822.68,2.09,3.14,0,,
2636,0.66,0.48,0.34,0.33,1.44,979.71,1.85,2.32,0,,
2637,0.62,0.77,0.38,0.47,1.66,1062.55,2.31,2.34,0,,
2638,0.59,0.54,0.41,0.25,2.17,880.43,1.43,1.93,0,,
2639,0.78,0.58,0.22,0.41,1.43,893.82,2.19,2.35,0,,
2640,0.55,0.52,0.45,0.29,1.79,905.59,1.96,2.20,0,,
2641,0.53,0.59,0.47,0.24,2.51,996.12,1.63,2.48,0,,
2642,0.69,0.61,0.31,0.29,2.10,1142.69,2.70,2.85,0,,
2643,0.63,0.57,0.37,0.25,2.22,1018.32,2.17,2.40,0,,
2644,0.72,0.43,0.28,0.34,1.26,796.89,1.51,2.28,0,,
2645,0.44,0.52,0.56,0.25,2.08,1079.27,1.87,2.79,1,,
2646,0.56,0.75,0.44,0.32,2.33,1022.79,1.82,1.82,0,,
2647,0.63,0.66,0.37,0.32,2.04,1080.88,2.30,2.81,0,,
2648,0.69,0.40,0.31,0.29,1.38,882.24,1.61,2.44,0,,
2649,0.59,0.73,0.41,0.33,2.21,1041.89,2.02,2.05,0,,
2650,0.43,0.64,0.57,0.29,2.20,1157.72,2.05,2.53,0,,
2651,0.57,0.40,0.43,0.16,2.48,1017.32,1.85,2.53,0,,
2652,0.56,0.52,0.44,0.34,1.53,1089.36,1.69,2.31,0,,
2653,0.72,0.42,0.28,0.18,2.26,929.30,2.18,3.44,0,,
2654,0.58,0.73,0.42,0.41,1.76,1020.38,1.76,2.79,0,,
2655,0.52,0.63,0.48,0.29,2.21,1067.29,2.66,3.50,0,,
2656,0.74,0.45,0.26,0.36,1.26,886.65,1.57,2.61,0,,
2657,0.49,0.99,0.51,0.49,2.01,1144.86,2.00,2.40,0,,
2658,0.35,0.51,0.65,0.32,1.60,1070.48,2.07,2.79,0,,
2659,0.76,0.43,0.24,0.21,2.04,895.86,1.74,2.47,0,,
2660,0.81,0.63,0.19,0.37,1.71,873.08,2.02,2.29,0,,
2661,0.61,0.65,0.39,0.33,1.97,973.56,1.69,2.12,0,,
2662,0.52,0.73,0.48,0.32,2.28,1030.69,1.93,3.41,0,,
2663,0.61,0.58,0.39,0.31,1.87,1043.51,1.59,2.47,0,,
2664,0.62,0.44,0.38,0.22,1.97,960.75,1.64,2.28,0,,
2665,0.60,0.78,0.40,0.40,1.92,1117.44,2.86,3.20,0,,
2666,0.71,0.55,0.29,0.23,2.34,918.13,1.44,2.14,0,,
2667,0.76,0.61,0.24,0.38,1.62,994.83,2.00,2.87,0,,
2668,0.44,0.57,0.56,0.28,1.99,1095.72,1.57,2.30,0,,
2669,0.57,0.66,0.43,0.45,1.46,1066.91,2.04,1.91,0,,
2670,0.72,0.70,0.28,0.31,2.30,942.83,1.73,2.43,0,,
2671,0.49,0.05,0.51,0.02,2.65,1004.33,2.02,2.72,0,,
2672,0.73,0.52,0.27,0.26,2.04,905.63,2.41,3.08,0,,
2673,0.61,0.93,0.39,0.42,2.22,1075.08,2.38,2.58,0,,
2674,0.53,0.61,0.47,0.28,2.15,984.53,1.44,2.03,0,,
2675,0.68,0.40,0.32,0.22,1.84,1004.51,2.24,3.07,0,,
2676,0.63,0.61,0.37,0.34,1.82,845.36,1.82,2.27,0,,
2677,0.60,0.89,0.40,0.44,2.00,1082.31,2.24,3.26,0,,
2678,0.40,1.06,0.60,0.41,2.57,1142.46,2.66,2.86,0,,
2679,0.55,0.71,0.45,0.32,2.21,954.85,2.32,2.63,0,,
2680,0.64,0.63,0.36,0.34,1.84,1004.07,2.44,2.51,0,,
2681,0.62,0.66,0.38,0.35,1.92,976.23,1.26,2.36,0,,
2682,0.63,0.58,0.37,0.28,2.11,1079.82,2.11,2.69,0,,
2683,0.47,0.72,0.53,0.37,1.97,899.32,1.26,1.33,0,,
2684,0.63,0.46,0.37,0.29,1.57,968.63,1.50,2.07,0,,
2685,0.68,0.59,0.32,0.35,1.66,1015.28,1.53,1.50,0,,
2686,0.58,0.64,0.42,0.37,1.76,838.72,1.84,2.30,0,,
2687,0.61,0.30,0.39,0.16,1.88,988.45,1.58,2.29,0,,
2688,0.52,0.52,0.48,0.26,1.99,1104.11,2.11,1.15,0,,
2689,0.50,0.44,0.50,0.20,2.24,1061.54,2.52,2.21,0,,
2690,0.49,0.60,0.51,0.33,1.81,1157.75,2.26,3.03,0,,
2691,0.54,0.20,0.46,0.09,2.25,995.64,2.90,3.45,0,,
2692,0.54,0.69,0.46,0.30,2.29,881.85,2.20,2.27,0,,
2693,0.41,0.95,0.59,0.44,2.15,1037.65,1.84,2.65,0,,
2694,0.72,0.63,0.28,0.32,1.98,1090.39,2.22,2.83,0,,
2695,0.63,0.76,0.37,0.43,1.76,1005.92,2.34,2.91,0,,
2696,0.77,0.53,0.23,0.26,2.01,856.02,1.72,2.36,0,,
2697,0.51,0.52,0.49,0.27,1.95,827.84,1.47,2.07,0,,
2698,0.60,0.26,0.40,0.12,2.19,839.40,2.17,2.20,0,,
2699,0.63,0.58,0.37,0.55,1.05,956.25,1.38,2.28,0,,
2700,0.77,0.56,0.23,0.29,1.92,996.52,2.05,2.84,0,,
2701,0.58,0.55,0.42,0.41,1.35,1039.24,2.08,1.95,0,,
2702,0.63,0.60,0.37,0.35,1.72,1122.14,1.50,2.16,0,,
2703,0.74,0.54,0.26,0.23,2.29,1050.27,2.50,2.25,0,,
2704,0.72,0.59,0.28,0.25,2.39,925.56,2.12,2.87,0,,
2705,0.68,0.10,0.32,0.04,2.66,936.45,2.38,3.43,0,,
2706,0.63,0.36,0.37,0.20,1.82,959.25,2.22,3.38,0,,
2707,0.76,0.39,0.24,0.23,1.73,944.09,2.09,2.83,0,,
2708,0.62,0.47,0.38,0.23,2.03,868.32,1.71,2.02,0,,
2709,0.54,0.75,0.46,0.38,1.97,988.90,1.67,2.34,0,,
2710,0.64,0.64,0.36,0.34,1.89,967.84,1.76,2.69,0,,
2711,0.67,0.52,0.33,0.24,2.21,967.34,2.32,2.25,0,,
2712,0.57,0.41,0.43,0.19,2.17,1117.96,2.31,2.79,0,,
2713,0.49,0.90,0.51,0.40,2.26,1128.91,2.14,2.36,0,,
2714,0.64,0.59,0.36,0.28,2.08,908.08,2.05,2.34,0,,
2715,0.65,0.65,0.35,0.32,2.00,1008.39,2.03,2.64,0,,
2716,0.74,0.53,0.26,0.31,1.73,943.19,1.92,2.45,0,,
2717,0.70,0.55,0.30,0.27,2.06,957.46,2.14,2.31,0,,
2718,0.54,0.84,0.46,0.38,2.19,1187.54,2.02,2.25,0,,
2719,0.61,0.74,0.39,0.32,2.32,1199.76,2.56,2.73,0,,
2720,0.52,0.70,0.48,0.32,2.20,1058.69,1.56,2.16,0,,
2721,0.53,0.37,0.47,0.21,1.77,974.07,1.94,2.49,0,,
2722,0.56,0.78,0.44,0.31,2.51,966.42,1.95,2.48,0,,
2723,0.52,0.73,0.48,0.41,1.80,1129.57,2.55,2.73,0,,
2724,0.45,0.68,0.55,0.29,2.35,997.28,2.46,2.68,0,,
2725,0.54,0.44,0.46,0.35,1.25,981.09,1.58,1.79,0,,
2726,0.56,0.97,0.44,0.37,2.60,1125.84,1.79,2.04,0,,
2727,0.60,0.80,0.40,0.63,1.28,1063.66,1.54,2.51,0,,
2728,0.72,0.37,0.28,0.20,1.81,947.64,1.96,2.66,0,,
2729,0.65,0.51,0.35,0.27,1.90,969.85,2.05,2.59,0,,
2730,0.57,0.57,0.43,0.26,2.16,1184.05,2.22,3.69,0,,
2731,0.71,0.23,0.29,0.13,1.83,1000.28,1.96,2.08,0,,
2732,0.55,0.74,0.45,0.33,2.27,1228.21,2.79,3.62,0,,
2733,0.57,0.49,0.43,0.34,1.45,1049.76,2.25,1.76,0,,
2734,0.59,0.54,0.41,0.27,2.04,1000.62,2.17,1.94,0,,
2735,0.57,0.62,0.43,0.30,2.06,1029.42,1.68,2.01,0,,
2736,0.60,0.56,0.40,0.29,1.93,1005.92,1.45,2.77,0,,
2737,0.60,0.42,0.40,0.27,1.56,1015.69,1.74,1.91,0,,
2738,0.60,0.47,0.40,0.22,2.19,955.20,2.21,2.87,0,,
2739,0.51,0.47,0.49,0.25,1.91,1014.44,1.93,2.34,0,,
2740,0.61,0.47,0.39,0.21,2.28,918.72,1.68,2.21,0,,
2741,0.86,0.52,0.14,0.32,1.65,993.98,2.25,3.15,0,,
2742,0.65,0.63,0.35,0.29,2.18,961.18,2.30,3.07,0,,
2743,0.58,0.73,0.42,0.34,2.16,929.46,2.44,3.04,0,,
2744,0.50,0.56,0.50,0.25,2.23,999.66,1.90,1.65,0,,
2745,0.46,0.28,0.54,0.12,2.43,947.96,1.09,2.06,0,,
2746,0.69,0.53,0.31,0.29,1.86,887.28,1.65,2.48,0,,
2747,0.52,0.81,0.48,0.38,2.16,1021.99,1.41,1.93,0,,
2748,0.58,0.68,0.42,0.42,1.64,1074.76,1.83,2.90,0,,
2749,0.62,0.25,0.38,0.12,2.17,922.48,2.47,2.50,0,,
2750,0.60,0.64,0.40,0.33,1.93,879.20,1.78,2.06,0,,
2751,0.60,0.59,0.40,0.31,1.87,1110.63,2.21,2.65,0,,
2752,0.59,0.58,0.41,0.31,1.90,1014.05,1.87,2.15,0,,
2753,0.58,0.55,0.42,0.29,1.88,1053.39,1.53,2.78,0,,
2754,0.67,0.88,0.33,0.48,1.85,958.51,1.70,2.17,0,,
2755,0.70,0.41,0.30,0.17,2.45,946.28,2.01,2.76,0,,
2756,0.50,0.79,0.50,0.34,2.34,1168.38,2.23,2.99,0,,
2757,0.62,0.54,0.38,0.34,1.58,879.16,1.37,1.88,0,,
2758,0.46,0.32,0.54,0.13,2.38,1030.36,2.12,2.08,0,,
2759,0.69,0.64,0.31,0.32,1.98,1120.37,2.22,2.69,0,,
2760,0.66,0.67,0.34,0.43,1.55,943.12,1.83,2.05,0,,
2761,0.46,0.63,0.54,0.30,2.10,874.96,1.69,1.97,0,,
2762,0.46,0.69,0.54,0.30,2.32,900.29,1.67,2.35,0,,
2763,0.70,0.25,0.30,0.14,1.85,878.45,1.92,2.13,0,,
2764,0.58,0.66,0.42,0.33,1.97,1131.36,2.58,2.96,0,,
2765,0.47,0.95,0.53,0.43,2.22,1084.74,2.29,2.77,0,,
2766,0.47,0.45,0.53,0.20,2.23,991.99,1.43,2.20,0,,
2767,0.73,0.33,0.27,0.14,2.35,793.87,1.60,2.80,0,,
2768,0.44,0.63,0.56,0.27,2.32,1084.46,2.40,2.41,1,,
2769,0.53,0.60,0.47,0.32,1.86,1023.23,1.87,2.56,0,,
2770,0.58,0.94,0.42,0.41,2.27,1140.44,2.23,2.64,0,,
2771,0.62,0.69,0.38,0.35,1.96,956.75,2.03,2.62,0,,
2772,0.70,0.43,0.30,0.27,1.57,1041.93,2.13,2.63,0,,
2773,0.59,0.42,0.41,0.22,1.90,943.02,2.01,2.57,0,,
2774,0.63,0.51,0.37,0.30,1.71,827.93,1.43,1.83,0,,
2775,0.37,0.60,0.63,0.40,1.50,1031.51,1.70,1.15,0,,
2776,0.58,0.48,0.42,0.23,2.07,1094.67,2.42,2.73,0,,
2777,0.62,0.64,0.38,0.32,2.02,1045.99,1.90,2.72,0,,
2778,0.60,0.68,0.40,0.33,2.10,873.10,1.76,1.63,0,,
2779,0.66,0.80,0.34,0.42,1.91,1176.01,2.03,3.17,0,,
2780,0.39,1.03,0.61,0.49,2.08,1192.02,1.70,2.90,0,,
2781,0.54,0.27,0.46,0.13,2.07,950.99,1.48,2.13,0,,
2782,0.59,0.65,0.41,0.41,1.58,1007.20,1.67,1.83,0,,
2783,0.49,0.58,0.51,0.26,2.25,1016.06,2.02,2.20,0,,
2784,0.60,0.34,0.40,0.17,1.99,918.44,2.11,1.97,0,,
2785,0.61,0.50,0.39,0.24,2.10,897.15,1.63,2.20,0,,
2786,0.66,0.45,0.34,0.24,1.86,1041.34,1.95,2.70,0,,
2787,0.66,0.59,0.34,0.32,1.85,971.52,2.05,2.47,0,,
2788,0.44,0.75,0.56,0.31,2.43,1167.15,2.50,3.21,0,,
2789,0.52,0.38,0.48,0.18,2.06,1021.18,1.56,2.12,0,,
2790,0.59,0.37,0.41,0.27,1.38,934.28,1.48,1.49,0,,
2791,0.43,0.33,0.57,0.15,2.26,1031.37,1.94,2.25,0,,
2792,0.60,0.85,0.40,0.46,1.86,984.26,1.82,2.84,0,,
2793,0.57,0.58,0.43,0.24,2.39,1062.95,2.26,3.27,0,,
2794,0.74,0.59,0.26,0.34,1.72,1092.81,2.01,2.17,0,,
2795,0.55,0.73,0.45,0.37,1.95,1140.77,2.55,2.17,0,,
2796,0.74,0.44,0.26,0.21,2.11,962.20,1.80,3.31,0,,
2797,0.70,0.30,0.30,0.13,2.28,966.87,2.40,3.22,0,,
2798,0.51,0.43,0.49,0.17,2.55,1015.59,2.45,1.96,0,,
2799,0.56,0.65,0.44,0.39,1.69,936.71,1.37,1.37,0,,
2800,0.69,0.57,0.31,0.27,2.09,918.31,2.19,3.01,0,,
2801,0.64,0.67,0.36,0.40,1.69,931.43,1.11,2.12,0,,
2802,0.57,0.55,0.43,0.26,2.10,959.97,1.24,1.83,0,,
2803,0.58,0.05,0.42,0.02,2.72,1029.99,1.88,2.94,1,,
2804,0.77,0.30,0.23,0.16,1.87,969.70,2.91,3.19,0,,
2805,0.72,0.78,0.28,0.35,2.22,1131.30,2.88,3.67,0,,
2806,0.78,0.52,0.22,0.28,1.83,984.52,1.81,1.81,0,,
2807,0.61,0.78,0.39,0.48,1.61,1141.76,2.35,3.10,0,,
2808,0.77,0.60,0.23,0.30,2.01,803.85,2.49,2.56,0,,
2809,0.53,0.28,0.47,0.14,2.01,948.32,1.52,1.93,1,,
2810,0.70,0.79,0.30,0.52,1.50,814.77,1.73,2.24,0,,
2811,0.71,0.65,0.29,0.38,1.69,1080.04,2.54,2.87,0,,
2812,0.42,0.40,0.58,0.19,2.08,946.85,1.25,1.94,0,,
2813,0.38,0.84,0.62,0.36,2.30,1194.53,1.78,2.93,0,,
2814,0.68,0.61,0.32,0.28,2.20,1063.59,2.43,2.90,0,,
2815,0.60,0.43,0.40,0.23,1.92,919.86,2.20,2.82,1,,
2816,0.40,0.42,0.60,0.16,2.58,970.19,1.50,2.87,0,,
2817,0.65,0.35,0.35,0.20,1.81,895.11,2.27,2.41,0,,
2818,0.43,0.81,0.57,0.36,2.24,1075.41,1.95,3.15,0,,
2819,0.52,0.50,0.48,0.26,1.90,1002.87,1.35,2.49,0,,
2820,0.59,0.41,0.41,0.22,1.88,929.53,1.88,2.05,0,,
2821,0.64,0.67,0.36,0.30,2.24,1051.37,2.67,2.96,0,,
2822,0.43,1.00,0.57,0.59,1.70,1053.61,1.44,1.84,0,,
2823,0.53,0.58,0.47,0.34,1.71,995.36,2.26,2.24,0,,
2824,0.66,0.68,0.34,0.36,1.87,972.14,2.18,2.36,0,,
2825,0.56,0.47,0.44,0.25,1.83,957.48,1.44,2.34,0,,
2826,0.69,0.21,0.31,0.13,1.64,810.97,1.71,2.82,0,,
2827,0.59,0.40,0.41,0.19,2.06,917.51,2.05,3.02,0,,
2828,0.45,0.61,0.55,0.38,1.59,1046.71,2.21,2.44,0,,
2829,0.55,0.63,0.45,0.32,1.99,1045.38,2.19,2.59,0,,
2830,0.68,0.37,0.32,0.28,1.32,959.68,1.38,1.84,0,,
2831,0.57,0.67,0.43,0.39,1.72,1007.10,2.27,2.22,0,,
2832,0.67,0.78,0.33,0.49,1.60,1083.97,2.11,2.42,0,,
2833,0.40,0.85,0.60,0.43,1.94,1136.89,2.17,2.42,0,,
2834,0.78,0.45,0.22,0.23,1.93,884.87,1.88,2.56,0,,
2835,0.67,0.50,0.33,0.32,1.60,912.59,1.55,2.39,0,,
2836,0.52,0.81,0.48,0.41,1.98,1122.13,1.87,3.02,0,,
2837,0.68,0.57,0.32,0.29,1.98,786.95,2.26,3.09,0,,
2838,0.60,0.73,0.40,0.44,1.63,1125.54,1.50,2.70,0,,
2839,0.53,1.23,0.47,0.43,2.84,1215.06,2.27,2.66,0,,
2840,0.47,0.90,0.53,0.38,2.33,1004.47,1.50,1.95,0,,
2841,0.69,0.30,0.31,0.13,2.36,1102.62,2.37,2.96,0,,
2842,0.62,0.38,0.38,0.18,2.14,948.85,1.92,2.80,0,,
2843,0.65,0.31,0.35,0.19,1.60,989.41,2.03,2.60,1,,
2844,0.61,0.66,0.39,0.40,1.64,1244.42,2.49,2.85,0,,
2845,0.56,0.57,0.44,0.30,1.87,940.18,1.43,1.76,0,,
2846,0.66,0.85,0.34,0.47,1.79,1056.35,1.61,2.04,0,,
2847,0.52,0.57,0.48,0.30,1.86,761.90,1.03,2.42,0,,
2848,0.56,0.64,0.44,0.31,2.09,936.12,1.47,2.37,0,,
2849,0.65,0.59,0.35,0.27,2.20,948.87,2.45,2.59,0,,
2850,0.57,0.77,0.43,0.43,1.78,1122.76,1.77,1.92,0,,
2851,0.50,0.68,0.50,0.42,1.61,996.79,1.26,2.37,0,,
